Name,price,size,season,frequency,home delivery,SNAP,pickup location,vegetables,meat,eggs,fish,fruit,milk,Farm
Elisabeth Harmon,675,small,main,weekly,0,0,NE Portland,1,0,0,0,0,0,Full Cellar Farm
Londyn Houston,500,small,main,weekly,0,1,SW Portland,1,0,0,0,0,0,Good Rain Farm
Sylvia Barnes,675,full,main,weekly,0,1,SE Portland,1,0,0,0,0,0,Lil Starts Farm
Juliet Schroeder,600,full,main,weekly,0,1,SE Portland,1,1,0,0,0,0,Three Goats Farm
Stephen Mckinney,1000,full,main,weekly,0,0,NE Portland,1,0,0,0,1,0,The Side Yard Farm
Kyle Cameron,518,full,main,biweekly,1,0,SE Portland,1,0,0,0,0,0,Sun Love Farm
Bradley Andersen,720,full,main,weekly,0,0,NW Portland,1,0,0,0,0,0,Kasama Farm
0ah Kirk,660,full,main,monthly,1,0,NE Portland,0,1,0,0,0,0,PK Pastures
Georgia Compton,930,full,main,monthly,1,0,SW Portland,0,1,0,0,0,0,Totum Farm
Conrad Thornton,700,full,main,weekly,0,0,NW Portland,1,0,0,0,0,0,Good Rain Farm
Rocco Osborne,360,small,main,biweekly,0,0,NW Portland,1,0,0,0,0,0,Kasama Farm
Karma Cunningham,500,small,main,weekly,0,1,NW Portland,1,0,0,0,0,0,Good Rain Farm
Jayson Lucas,630,small,main,monthly,1,1,NE Portland,0,1,1,0,0,0,Totum Farm
Jaden Rose,630,small,main,monthly,1,1,NW Portland,0,1,1,0,0,0,Totum Farm
Drake Bonilla,1300,full,main,weekly,0,1,NE Portland,1,0,0,0,0,0,Full Cellar Farm
Jayleen Faulkner,350,small,main,weekly,0,1,SE Portland,1,1,0,0,0,0,Three Goats Farm
Aidyn Ballard,1000,full,main,weekly,0,1,NE Portland,1,0,0,0,1,0,The Side Yard Farm
Rodolfo Sampson,340,small,main,biweekly,0,0,SE Portland,1,0,0,0,0,0,Lil Starts Farm
Giovanny Osborn,675,small,main,weekly,0,1,NE Portland,1,0,0,0,0,0,Full Cellar Farm
Kaila Guerra,1036,full,main,weekly,1,1,SE Portland,1,0,0,0,0,0,Sun Love Farm
Jordin Petersen,600,full,main,weekly,0,1,SE Portland,1,1,0,0,0,0,Three Goats Farm
Monserrat Lucero,360,small,main,biweekly,0,1,NW Portland,1,0,0,0,0,0,Kasama Farm
Nina Melton,930,full,main,monthly,1,1,SW Portland,0,1,1,0,0,0,Totum Farm
Toby Stevens,675,small,main,weekly,0,1,SE Portland,1,0,0,0,0,0,Full Cellar Farm
Reece Chandler,720,full,main,weekly,0,1,NW Portland,1,0,0,0,0,0,Kasama Farm
